Date,Open,High,Low,Close,Volume,Adj Close
20-03-2012,2823.552,2852,2803.052,2825.30005,339500,527.82706
19-03-2012,2888.1001,2897.19995,2812.14795,2833.052,162800,529.27529
16-03-2012,2900,2910,2850.14795,2866.052,272700,535.44041
15-03-2012,2882.14795,2902.24805,2870,2881.80005,140500,538.38248
14-03-2012,2885,2915.35205,2835.552,2879.30005,480700,537.91543
13-03-2012,2836.19995,2868,2836.19995,2859.448,152700,534.20664
12-03-2012,2911.052,2911.5,2787,2816.80005,347600,526.23908
09-03-2012,2900,2904.3999,2852.1001,2859.85205,187000,534.28212
08-03-2012,2879.6001,2879.6001,2879.6001,2879.6001,0,537.97148
07-03-2012,2845,2888,2837,2879.6001,395700,537.97148
06-03-2012,2804,2879.69995,2802.6001,2849.052,210700,532.26444
05-03-2012,2852,2865.448,2796,2809.35205,162900,524.84763
02-03-2012,2860.19995,2865,2816.5,2846.6001,191500,531.80637
01-03-2012,2865,2870,2806.30005,2848.80005,282100,532.21737
29-02-2012,2900,2909,2865,2875.3999,386500,537.1868
28-02-2012,2885,2908.75195,2855,2871.448,252600,536.44849
27-02-2012,2960.1001,2960.1001,2855,2880.35205,228300,538.11196
24-02-2012,2936,2972,2926.30005,2947.30005,237100,550.6193
23-02-2012,2931,2981.552,2916,2935,269500,548.32138
22-02-2012,2940,2990,2908,2952.64795,556700,551.6184
21-02-2012,2932,2958.948,2912.24805,2937.14795,261000,548.72266
20-02-2012,2950.6001,2950.6001,2950.6001,2950.6001,0,551.23582
17-02-2012,2911,2975,2900,2950.6001,556300,551.23582
16-02-2012,2860,2908.6001,2860,2903.35205,383900,542.40886
15-02-2012,2816.1001,2875,2816.1001,2867.24805,491600,535.66385
14-02-2012,2775,2808,2765,2800.3999,276500,523.17518
13-02-2012,2779.948,2794.552,2752.1001,2784.30005,206200,520.16738
10-02-2012,2790.052,2798.75195,2753.64795,2782.69995,278200,519.86844
09-02-2012,2750,2820,2732,2807.24805,307800,524.45456
08-02-2012,2749,2779.8999,2745,2768.64795,234500,517.24323
07-02-2012,2800.1001,2800.1001,2714.35205,2725.052,841400,509.09856
06-02-2012,2802.19995,2809,2755.19995,2776.30005,301700,518.6728
03-02-2012,2740,2786.6001,2739,2779.948,300400,519.35432
02-02-2012,2744.8999,2780,2728.552,2753.448,336600,514.40355
01-02-2012,2741.69995,2741.69995,2695.85205,2734.85205,301400,510.92942
31-01-2012,2715,2752,2708,2743.35205,290100,512.51741
30-01-2012,2700,2719,2690.052,2705.8999,254400,505.52054
27-01-2012,2695,2729.8999,2686.052,2720.6001,547100,508.26685
26-01-2012,2659.75195,2659.75195,2659.75195,2659.75195,0,496.8991
25-01-2012,2630,2670,2624.75195,2659.75195,364700,496.8991
24-01-2012,2621,2639.19995,2595.35205,2620.1001,327700,489.49128
23-01-2012,2580,2616,2580,2599.948,285200,485.72643
20-01-2012,2599.8999,2609.948,2575.19995,2583.552,423400,482.66331
19-01-2012,2608.30005,2623.552,2577,2591.8999,478100,484.22287
18-01-2012,2644,2644,2585.30005,2610.552,483500,487.70749
17-01-2012,2650,2668,2634.1001,2660.24805,580500,496.99178
16-01-2012,2584.80005,2641,2580,2634.1001,886400,492.10678
13-01-2012,2611,2618.75195,2555,2585.552,1704400,483.03695
12-01-2012,2744,2744,2578,2588.6001,4118000,483.6064
11-01-2012,2867,2895.30005,2812.5,2826,741300,527.95783
10-01-2012,2857,2876.8999,2850.1001,2863,642300,534.87023
09-01-2012,2848.75195,2866,2820,2836.19995,428900,529.8634
06-01-2012,2838.8999,2868.35205,2810,2830.64795,795700,528.82616
05-01-2012,2840,2876,2831,2838.8999,490300,530.36781
04-01-2012,2854,2872,2842,2854.24805,592900,533.23517
03-01-2012,2825,2886.69995,2819.552,2864.6001,769100,535.16916
02-01-2012,2763.8999,2813.69995,2742,2804.85205,511300,524.00693
30-12-2011,2745.80005,2774,2741,2765.052,206700,516.57142
29-12-2011,2755,2774.8999,2730,2743.64795,283100,512.57269
28-12-2011,2760.14795,2800,2754,2780.85205,871600,519.52322
27-12-2011,2767.948,2799,2740,2761.64795,373800,515.93547
26-12-2011,2689,2782,2689,2773.35205,437800,518.12205
23-12-2011,2735.14795,2736.35205,2683.14795,2694.85205,330200,503.45656
22-12-2011,2679.80005,2744.24805,2647.80005,2714.80005,478900,507.18327
21-12-2011,2714.8999,2753.448,2681,2744.24805,744500,512.6848
20-12-2011,2686,2698.6001,2651.948,2667.35205,396600,498.31896
19-12-2011,2695,2703.5,2655.6001,2674.14795,419100,499.58858
16-12-2011,2699,2775,2691.35205,2717.19995,588900,507.63163
15-12-2011,2729,2731.8999,2665,2715.24805,555800,507.26697
14-12-2011,2753,2765,2726.5,2740.8999,429400,512.05929
13-12-2011,2724.1001,2764.19995,2710,2754.64795,1060300,514.62772
12-12-2011,2719,2748.80005,2700,2731.24805,693600,510.25612
09-12-2011,2667.5,2734.19995,2659.24805,2706.14795,379700,505.56688
08-12-2011,2747,2758,2697,2723.75195,335700,508.85568
07-12-2011,2710,2769,2685,2752.80005,575000,514.2825
06-12-2011,2700.052,2700.052,2700.052,2700.052,0,504.42802
05-12-2011,2694.948,2713,2675,2700.052,226700,504.42802
02-12-2011,2650,2715,2635,2696.80005,322500,503.82049
01-12-2011,2665,2691,2635.052,2652.80005,348500,495.60034
30-11-2011,2505.35205,2622,2505.35205,2607.552,433900,487.14702
29-11-2011,2632,2633.6001,2585.052,2606.1001,745100,486.87578
28-11-2011,2620,2655,2613,2643.24805,965400,493.81582
25-11-2011,2654,2654,2590.052,2600.6001,774600,485.84826
24-11-2011,2648,2682.8999,2588.052,2666.6001,661000,498.17848
23-11-2011,2688,2688.8999,2615.80005,2650.552,444600,495.18035
22-11-2011,2629,2760.552,2612,2723.14795,1041600,508.74284
21-11-2011,2723,2733,2600.1001,2661.19995,422100,497.16962
18-11-2011,2735,2763,2720.5,2739.5,234900,511.79776
17-11-2011,2769,2787.24805,2731.64795,2750.80005,342000,513.90885
16-11-2011,2796,2803.69995,2758.448,2776.1001,305100,518.63545
15-11-2011,2804.69995,2818.8999,2780.1001,2792.5,425400,521.6993
14-11-2011,2805,2830,2797.052,2808.448,272800,524.67873
11-11-2011,2750,2806.448,2720,2775.6001,643700,518.54204
09-11-2011,2841,2861.8999,2821.5,2832.1001,403200,529.09746
08-11-2011,2810,2847,2791.1001,2839.14795,574800,530.41415
04-11-2011,2846,2850,2794,2829.1001,948500,528.53699
03-11-2011,2833.69995,2842,2767.552,2802.14795,408700,523.50175
02-11-2011,2823,2853.552,2815,2828.64795,506200,528.45252
01-11-2011,2840.1001,2874.75195,2817,2837.19995,364900,530.05022
31-10-2011,2846,2897.8999,2846,2875.19995,491200,537.14944
28-10-2011,2906,2971.30005,2845,2859.64795,883800,534.24399
26-10-2011,2862,2874.8999,2831,2838.75195,172400,530.34017
25-10-2011,2800,2890,2800,2853.5,885000,533.09542
24-10-2011,2747,2773.80005,2742.052,2767.69995,325200,517.06612
21-10-2011,2746,2746,2707.19995,2722.69995,374600,508.65915
20-10-2011,2692,2758,2686,2745.948,341500,513.00238
19-10-2011,2720,2734,2701,2727.24805,464000,498.29953
18-10-2011,2699,2724,2686.69995,2703.1001,902600,493.88742
17-10-2011,2761,2763,2720.3999,2747.24805,1030900,501.95376
14-10-2011,2707,2750.1001,2687,2744.64795,1084000,501.47869
13-10-2011,2712,2728,2651,2695.35205,1240200,492.47177
12-10-2011,2601,2690,2601,2680.5,3809600,489.75813
11-10-2011,2583,2595.30005,2493.1001,2509.19995,1163400,458.45964
10-10-2011,2544,2599,2529.80005,2591.30005,609400,473.46027
07-10-2011,2555.35205,2574.80005,2488,2507.052,823700,458.06719
05-10-2011,2463.052,2499,2438,2454.30005,505200,448.4288
04-10-2011,2447.1001,2483.30005,2420,2440.69995,534000,445.94391
03-10-2011,2483,2517,2468.552,2476.35205,501600,452.45795
30-09-2011,2529,2564,2510.1001,2533.80005,621700,462.95436
29-09-2011,2475,2567.8999,2472.1001,2550,928500,465.91428
28-09-2011,2480,2537.24805,2455.19995,2474.85205,1772400,452.18389
27-09-2011,2376.8999,2468,2376.8999,2446,700900,446.91229
26-09-2011,2342.552,2366,2302,2355.14795,577500,430.31257
23-09-2011,2336,2390.5,2321,2340.1001,629300,427.56316
22-09-2011,2384,2409.948,2338,2353.6001,653100,430.02976
21-09-2011,2436.19995,2454,2418.1001,2433.3999,468300,444.6101
20-09-2011,2375,2450,2375,2437.69995,669000,445.39577
19-09-2011,2392.19995,2409.552,2356.052,2361.64795,313100,431.5002
16-09-2011,2440,2449,2374.052,2393.3999,779200,437.30164
15-09-2011,2377,2422.3999,2329.14795,2405.552,973100,439.52197
14-09-2011,2247.1001,2363.8999,2247.1001,2353.052,1185000,429.92962
13-09-2011,2226,2258.5,2199,2224.3999,493800,406.4234
12-09-2011,2219,2219,2183.052,2197.75195,728900,401.55452
09-09-2011,2331,2331,2259,2271.19995,626200,414.97431
08-09-2011,2304,2353,2300,2338.64795,739400,427.29783
07-09-2011,2301,2313.80005,2267.8999,2291.19995,681500,418.62854
06-09-2011,2250.1001,2326,2223.5,2303.3999,516300,420.85761
05-09-2011,2287.8999,2287.8999,2241,2263.85205,467300,413.63176
02-09-2011,2370,2379,2277,2315.552,439800,423.07794
30-08-2011,2325.69995,2360,2280.14795,2342.80005,673900,428.05647
29-08-2011,2235.19995,2312.19995,2235.19995,2297.85205,518800,419.84395
26-08-2011,2189.8999,2253.85205,2183.052,2204.552,1247500,402.79696
25-08-2011,2245,2264,2169,2189.64795,871900,400.07382
24-08-2011,2280,2280,2231,2249.948,451500,411.09133
23-08-2011,2204.6001,2300,2195,2274,794100,415.48591
22-08-2011,2217.8999,2247.64795,2171.85205,2194.052,1011700,400.87849
19-08-2011,2272,2272,2172.64795,2225.3999,1702900,406.60611
18-08-2011,2465,2467,2351,2362.052,630400,431.57402
17-08-2011,2400,2463,2400,2449.14795,424400,447.48745
